image	OMwB_Column	34	OMwB_Column	34	OMwB_Column	OMwB_Row
text	OMwB_Column	35	OMwB_Column	35	OMwB_Column	OMwB_Row
uniqueidentifier	OMwB_Column	36	OMwB_Column	36	OMwB_Column	OMwB_Row
tinyint	OMwB_Column	48	OMwB_Column	48	OMwB_Column	OMwB_Row
smallint	OMwB_Column	52	OMwB_Column	52	OMwB_Column	OMwB_Row
int	OMwB_Column	56	OMwB_Column	56	OMwB_Column	OMwB_Row
smalldatetime	OMwB_Column	58	OMwB_Column	58	OMwB_Column	OMwB_Row
real	OMwB_Column	59	OMwB_Column	59	OMwB_Column	OMwB_Row
money	OMwB_Column	60	OMwB_Column	60	OMwB_Column	OMwB_Row
datetime	OMwB_Column	61	OMwB_Column	61	OMwB_Column	OMwB_Row
float	OMwB_Column	62	OMwB_Column	62	OMwB_Column	OMwB_Row
sql_variant	OMwB_Column	98	OMwB_Column	98	OMwB_Column	OMwB_Row
ntext	OMwB_Column	99	OMwB_Column	99	OMwB_Column	OMwB_Row
bit	OMwB_Column	104	OMwB_Column	104	OMwB_Column	OMwB_Row
decimal	OMwB_Column	106	OMwB_Column	106	OMwB_Column	OMwB_Row
numeric	OMwB_Column	108	OMwB_Column	108	OMwB_Column	OMwB_Row
smallmoney	OMwB_Column	122	OMwB_Column	122	OMwB_Column	OMwB_Row
bigint	OMwB_Column	127	OMwB_Column	127	OMwB_Column	OMwB_Row
varbinary	OMwB_Column	165	OMwB_Column	165	OMwB_Column	OMwB_Row
varchar	OMwB_Column	167	OMwB_Column	167	OMwB_Column	OMwB_Row
binary	OMwB_Column	173	OMwB_Column	173	OMwB_Column	OMwB_Row
char	OMwB_Column	175	OMwB_Column	175	OMwB_Column	OMwB_Row
timestamp	OMwB_Column	189	OMwB_Column	189	OMwB_Column	OMwB_Row
nvarchar	OMwB_Column	231	OMwB_Column	231	OMwB_Column	OMwB_Row
nchar	OMwB_Column	239	OMwB_Column	239	OMwB_Column	OMwB_Row
xml	OMwB_Column	241	OMwB_Column	241	OMwB_Column	OMwB_Row
sysname	OMwB_Column	256	OMwB_Column	231	OMwB_Column	OMwB_Row
