FK_Orders_Customers	OMwB_Column	69575286	OMwB_Column	OMwB_Row
FK_Orders_Employees	OMwB_Column	85575343	OMwB_Column	OMwB_Row
FK_Orders_Shippers	OMwB_Column	101575400	OMwB_Column	OMwB_Row
FK_Products_Categories	OMwB_Column	229575856	OMwB_Column	OMwB_Row
FK_Products_Suppliers	OMwB_Column	245575913	OMwB_Column	OMwB_Row
FK_Order_Details_Orders	OMwB_Column	405576483	OMwB_Column	OMwB_Row
FK_Order_Details_Products	OMwB_Column	421576540	OMwB_Column	OMwB_Row
FK_CustomerCustomerDemo	OMwB_Column	965578478	OMwB_Column	OMwB_Row
FK_CustomerCustomerDemo_Customers	OMwB_Column	981578535	OMwB_Column	OMwB_Row
FK_Territories_Region	OMwB_Column	1029578706	OMwB_Column	OMwB_Row
FK_EmployeeTerritories_Employees	OMwB_Column	1061578820	OMwB_Column	OMwB_Row
FK_EmployeeTerritories_Territories	OMwB_Column	1077578877	OMwB_Column	OMwB_Row
FK_Employees_Employees	OMwB_Column	2009058193	OMwB_Column	OMwB_Row
